SMILES,with_star,no_star,num_star,ring_count,logP,TPSA,HBD,HBA
C1=C([1*])C([2*])C([3*])=C1,C1=C([1*])C([2*])C([3*])=C1,C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=C([1*])C([2*])C([3*])=C1[4*],C1=C([1*])C([2*])C([3*])=C1[4*],C1=CCC=C1,4,1,1.5025,0.0,0,0
C1=C([1*])C([2*])C=C1,C1=C([1*])C([2*])C=C1,C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=C([1*])C([2*])C=C1[3*],C1=C([1*])C([2*])C=C1[3*],C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=C([1*])C([2*])C([3*])=C1,C1=C([1*])C([2*])C([3*])=C1,C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=C([1*])C([2*])C([3*])=C1[4*],C1=C([1*])C([2*])C([3*])=C1[4*],C1=CCC=C1,4,1,1.5025,0.0,0,0
C1=C([1*])C([2*])([3*])C=C1,C1=C([1*])C([2*])([3*])C=C1,C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=C([1*])C([2*])([3*])C=C1[4*],C1=C([1*])C([2*])([3*])C=C1[4*],C1=CCC=C1,4,1,1.5025,0.0,0,0
C1=C([1*])C([2*])([3*])C([4*])=C1,C1=C([1*])C([2*])([3*])C([4*])=C1,C1=CCC=C1,4,1,1.5025,0.0,0,0
C1=C([1*])C([2*])([3*])C([4*])=C1[5*],C1=C([1*])C([2*])([3*])C([4*])=C1[5*],C1=CCC=C1,5,1,1.5025,0.0,0,0
[1*]C1=CCC=C1,[1*]C1=CCC=C1,C1=CCC=C1,1,1,1.5025,0.0,0,0
